Measure #,End-Use,Measure Name,Program,Home Type,Income Type,Replacement Type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
4004,Cooling,"Refrigerant Charge Adjustment, Residential",HVAC Optimization,SF,NLI,Retrofit,38.00,39.00,40.00,41.00,41.00,43.00,44.00,45.00,46.00,47.00,48.00,49.00,50.00,52.00,53.00,54.00,55.00,57.00,58.00,60.00,38.00,76.00,116.00,156.00,198.00,234.00,272.00,310.00,350.00,390.00,432.00,474.00,518.00,562.00,608.00,654.00,702.00,751.00,801.00,853.00
7057,Lighting,LED 22 W replacing 23-30 W CFL - indoor,Residential Lighting Efficiency Program,SF,All,ROB,17.00,38.00,94.00,157.00,224.00,386.00,594.00,803.00,969.00,1077.00,1139.00,1139.00,1139.00,1139.00,1139.00,1122.00,1101.00,1045.00,982.00,915.00,17.00,54.00,149.00,305.00,530.00,915.00,1508.00,2310.00,3278.00,4354.00,5492.00,6631.00,7769.00,8908.00,10047.00,11167.00,12262.00,13293.00,14251.00,15133.00
5014,Electronics,Televisions,Efficient Product Marketplace,MF,All,ROB,1.00,128.00,320.00,533.00,761.00,1311.00,2016.00,2727.00,3163.00,3338.00,3335.00,3107.00,2559.00,1854.00,1142.00,577.00,210.00,0.00,0.00,0.00,1.00,129.00,449.00,982.00,1743.00,3053.00,5067.00,7790.00,10928.00,14216.00,17471.00,20465.00,22828.00,24380.00,25114.00,25217.00,24925.00,24425.00,23960.00,23576.00
4025,Cooling,Window AC Turn-In & Recycle,Window AC Recycling,SF,All,Recycle,0.00,166.00,414.00,691.00,987.00,1313.00,1721.00,2215.00,2790.00,3428.00,4102.00,4777.00,5415.00,5990.00,6484.00,6892.00,7218.00,7472.00,7665.00,7810.00,0.00,166.00,580.00,1271.00,2258.00,3405.00,4711.00,6235.00,8038.00,10154.00,12535.00,15097.00,17723.00,20284.00,22666.00,24782.00,26585.00,28066.00,29247.00,30165.00
3060,Building Shell,Radiant Barrier_N/A_AC,Consumer Rebate Program - Future Offering,SF,All,Retrofit,1768.00,1712.00,1658.00,1607.00,1556.00,1508.00,1461.00,1413.00,1365.00,1317.00,371.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1768.00,3468.00,5104.00,6679.00,8191.00,9651.00,11044.00,12375.00,13622.00,14799.00,14995.00,14795.00,14583.00,14367.00,14151.00,13915.00,13653.00,13403.00,13168.00,12946.00
1001,Appliance,Refrigerator Recycling,Refrigerator Turn-In & Recycle,SF,NLI,RECYCLE,34.00,40.00,99.00,165.00,236.00,314.00,411.00,529.00,666.00,819.00,980.00,1141.00,1294.00,1431.00,1549.00,1646.00,1724.00,1785.00,1831.00,1866.00,34.00,73.00,172.00,337.00,573.00,853.00,1224.00,1654.00,2156.00,2739.00,3405.00,4135.00,4900.00,5664.00,6394.00,7061.00,7644.00,8135.00,8535.00,8852.00
1011,Appliance,Freezer Recycling,Refrigerator Turn-In & Recycle,SF,All,RECYCLE,40.00,46.00,116.00,193.00,276.00,367.00,482.00,620.00,781.00,959.00,1148.00,1337.00,1515.00,1676.00,1814.00,1929.00,2020.00,2091.00,2145.00,2185.00,40.00,86.00,202.00,395.00,632.00,953.00,1318.00,1745.00,2249.00,2841.00,3508.00,4225.00,4959.00,5676.00,6343.00,6935.00,7439.00,7854.00,8184.00,8441.00
4094,Cooling,"Refrigerant Charge Adjustment, Residential",HVAC Optimization,MF,LI,Retrofit,25.00,25.00,26.00,27.00,27.00,28.00,29.00,29.00,30.00,31.00,31.00,32.00,33.00,34.00,35.00,35.00,36.00,37.00,38.00,39.00,25.00,50.00,76.00,102.00,130.00,154.00,178.00,204.00,229.00,256.00,283.00,311.00,339.00,369.00,398.00,429.00,460.00,492.00,525.00,559.00
6024,HVAC,Ground Source Heat Pump,Consumer Rebate Program - Future Offering,SF,All,ROB,40.00,99.00,165.00,236.00,400.00,625.00,881.00,1119.00,1300.00,1419.00,1490.00,1489.00,1489.00,1488.00,1488.00,1447.00,1388.00,1321.00,1251.00,1087.00,40.00,139.00,304.00,540.00,940.00,1564.00,2444.00,3560.00,4857.00,6274.00,7762.00,9248.00,10733.00,12217.00,13699.00,15135.00,16501.00,17790.00,18999.00,20019.00
8002,Pools,Variable Speed Pool Pump,Consumer Rebate Program,SF,All,ER,6427.00,3713.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6427.00,10140.00,10140.00,10140.00,10140.00,10140.00,10140.00,10140.00,10140.00,6041.00,730.00,3129.00,5498.00,5498.00,5498.00,5498.00,5498.00,5498.00,5498.00,5498.00
